TF,observed_score,null_mean,null_std,z_score,empirical_p_value,significant,condition
Solyc03g026280,0.70022404,0.009067373,1.0373353,0.6662809,0.5044955044955045,False,stat_Cfulvum
Solyc03g093550,1.9300027,0.12296435,1.0008324,1.8055353,0.060939060939060936,False,stat_Cfulvum
Solyc03g097120,1.3306677,0.02733342,1.0510283,1.2400564,0.21078921078921078,False,stat_Cfulvum
Solyc03g112930,-1.1310178,0.036447708,1.0158732,-1.1492237,0.23576423576423577,False,stat_Cfulvum
Solyc03g113760,0.5107398,0.028305667,1.0261326,0.47014794,0.6273726273726273,False,stat_Cfulvum
Solyc03g121660,0.039359104,0.019868774,1.0543957,0.018484835,0.98001998001998,False,stat_Cfulvum
Solyc04g005100,-0.328223,0.003155216,1.0135872,-0.32693604,0.7472527472527473,False,stat_Cfulvum
Solyc04g008870,-1.713521,-0.0055635204,1.0757403,-1.5877043,0.11588411588411589,False,stat_Cfulvum
Solyc04g009950,1.9472255,0.032863617,1.030972,1.8568515,0.06793206793206794,False,stat_Cfulvum
Solyc04g056310,1.3477879,0.0045099678,1.0884193,1.2341548,0.21478521478521478,False,stat_Cfulvum
Solyc04g072900,0.298784,0.10357853,1.0140314,0.19250435,0.8481518481518482,False,stat_Cfulvum
Solyc04g074170,-0.9497964,-0.019152679,1.018884,-0.91339517,0.34765234765234765,False,stat_Cfulvum
Solyc04g077980,-0.14245434,0.090609945,1.0509903,-0.22175683,0.8171828171828172,False,stat_Cfulvum
Solyc04g078770,-0.4512744,-0.0014726219,1.0415636,-0.43185243,0.6693306693306693,False,stat_Cfulvum
Solyc04g078840,-1.7752532,0.0056680413,0.99688435,-1.7864873,0.08691308691308691,False,stat_Cfulvum
Solyc04g082480,-0.3517333,0.10659403,0.9698987,-0.47255173,0.6073926073926074,False,stat_Cfulvum
Solyc05g006650,-1.5272292,0.0022657327,1.0307953,-1.4838008,0.14485514485514486,False,stat_Cfulvum
Solyc05g012500,3.4486096,0.10242641,1.0953506,3.054897,0.004995004995004995,True,stat_Cfulvum
Solyc05g015840,-0.6193179,0.026683975,1.0064131,-0.6418854,0.5024975024975025,False,stat_Cfulvum
